order_number,timestamp,filename
JP1843KRHX00,2020-05-17 09:37:41.266418,MVNCGT-0019-JP1843KRHX00AB_orig.iges
JP1842AZLG00,2020-05-17 09:37:41.550726,MVNCGT-0013-JP1842AZLG00AB_orig.STEP
JP1842Y4BH00,2020-05-17 09:37:41.801091,MVNCGT-0012-JP1842Y4BH00AB_orig.STEP
JP1842CC6Y00,2020-05-17 09:37:42.095303,MVNCGT-0008-JP1842CC6Y00AB_orig.ipt
JP1842F3F900,2020-05-17 09:37:42.382431,MVNCGT-0017-JP1842F3F900AB_orig.ipt
JP1842WYP800,2020-05-17 09:37:42.676648,MVNCGT-0018-JP1842WYP800AA_orig.x_t
JP1842JKHE00,2020-05-17 09:37:42.916075,MVNCGT-0010-JP1842JKHE00AA_orig.igs
JP1842E4B500,2020-05-17 09:37:43.160590,MVNCGT-0015-JP1842E4B500AB_orig.stp
JP18427DZ500,2020-05-17 09:37:43.405554,MVNCGT-0011-JP18427DZ500AA_orig.igs
JP18422P8500,2020-05-17 09:37:43.669677,MVNCGT-0014-JP18422P8500AA_orig.stp
JP1842PU5000,2020-05-17 09:37:43.949124,MVNCGT-0004-JP1842PU5000AA_orig.sat
JP1842DLZ700,2020-05-17 09:37:44.259522,MVNCGT-0001-JP1842DLZ700AA_orig.ipt
JP1842ZTR000,2020-05-17 09:37:44.630006,MVNCGT-0009-JP1842ZTR000AB_orig.SLDPRT
JP18439E690Y,2020-05-17 09:37:44.996854,MVNCGT-0025-JP18439E690YAA_orig.stp
JP18439E6901,2020-05-17 09:37:45.315606,MVNCGT-0025-JP18439E6901AA_orig.stp
JP18439E6900,2020-05-17 09:37:45.608537,MVNCGT-0025-JP18439E6900AA_orig.stp
JP18439E690Z,2020-05-17 09:37:45.913084,MVNCGT-0025-JP18439E690ZAA_orig.stp
JP18439E690G,2020-05-17 09:37:46.208022,MVNCGT-0025-JP18439E690GAA_orig.stp
JP18439E6903,2020-05-17 09:37:46.508919,MVNCGT-0025-JP18439E6903AA_orig.stp
JP18439E690T,2020-05-17 09:37:46.780513,MVNCGT-0025-JP18439E690TAA_orig.stp
JP18430SNW00,2020-05-17 09:37:47.068958,MVNCGT-0026-JP18430SNW00AA_orig.stp
JP1843LSHK00,2020-05-17 09:37:47.444824,MVNCGT-0020-JP1843LSHK00AB_orig.STEP
JP1843AE2R00,2020-05-17 09:37:47.711894,MVNCGT-0031-JP1843AE2R00AB_orig.STEP
JP1843HTEC00,2020-05-17 09:37:48.030479,MVNCGT-0027-JP1843HTEC00AA_orig.stp
JP184306NY00,2020-05-17 09:37:48.250689,MVNCGT-0024-JP184306NY00AB_orig.x_t
JP18436HKM00,2020-05-17 09:37:48.528689,MVNCGT-0023-JP18436HKM00AB_orig.x_t
JP1843YBYY00,2020-05-17 09:37:48.742723,MVNCGT-0022-JP1843YBYY00AA_orig.x_t
JP1843UA7S00,2020-05-17 09:37:49.052392,MVNCGT-0028-JP1843UA7S00AA_orig.ipt
JP1843LX8F00,2020-05-17 09:37:49.321527,MVNCGT-0029-JP1843LX8F00AA_orig.ipt
JP1844B6Y200,2020-05-17 09:37:49.555392,MVNCGT-0034-JP1844B6Y200AB_orig.STEP
JP1844C9HA00,2020-05-17 09:37:49.850378,MVNCGT-0035-JP1844C9HA00AB_orig.STEP
JP18444AC400,2020-05-17 09:37:50.396619,MVNCGT-0036-JP18444AC400AB_orig.STEP
JP1844RMRN15,2020-05-17 09:37:52.025453,MVNCGT-0032-JP1844RMRN15AA_orig.igs
JP1844RMRN16,2020-05-17 09:37:53.933346,MVNCGT-0032-JP1844RMRN16AA_orig.igs
JP1844RMRN17,2020-05-17 09:37:55.256235,MVNCGT-0032-JP1844RMRN17AA_orig.igs
JP1844RMRN18,2020-05-17 09:37:57.152927,MVNCGT-0032-JP1844RMRN18AA_orig.igs
JP1844RMRN00,2020-05-17 09:37:58.378703,MVNCGT-0032-JP1844RMRN00AA_orig.igs
JP18443M7K00,2020-05-17 09:37:58.755475,MVNCGT-0033-JP18443M7K00AB_orig.STEP
JP1844CBZ100,2020-05-17 09:37:59.073035,MVNCGT-0037-JP1844CBZ100AB_orig.SLDPRT
JP18459T6J00,2020-05-17 09:37:59.371248,MVNCGT-0051-JP18459T6J00AB_orig.SLDPRT
JP1845XT3U00,2020-05-17 09:37:59.599041,MVNCGT-0057-JP1845XT3U00AB_orig.STEP
JP1845HXNE00,2020-05-17 09:37:59.865285,MVNCGT-0056-JP1845HXNE00AB_orig.ipt
JP1845S3LB00,2020-05-17 09:38:00.142881,MVNCGT-0048-JP1845S3LB00AA_orig.STEP
JP1845S3LB01,2020-05-17 09:38:00.417480,MVNCGT-0048-JP1845S3LB01AA_orig.STEP
JP1845C0ZW00,2020-05-17 09:38:00.698969,MVNCGT-0042-JP1845C0ZW00AB_orig.stp
JP18451K1J00,2020-05-17 09:38:00.970123,MVNCGT-0041-JP18451K1J00AB_orig.stp
JP1845673X00,2020-05-17 09:38:01.236659,MVNCGT-0039-JP1845673X00AB_orig.stp
JP1845GNLX00,2020-05-17 09:38:01.480712,MVNCGT-0049-JP1845GNLX00AB_orig.stp
JP18456J6H00,2020-05-17 09:38:01.802549,MVNCGT-0046-JP18456J6H00AB_orig.stp
JP18455PHX00,2020-05-17 09:38:02.031534,MVNCGT-0045-JP18455PHX00AB_orig.stp
JP1845BH2F00,2020-05-17 09:38:02.362202,MVNCGT-0047-JP1845BH2F00AB_orig.stp
JP1845N86P00,2020-05-17 09:38:02.635116,MVNCGT-0040-JP1845N86P00AB_orig.stp
JP1845LEKS00,2020-05-17 09:38:02.853145,MVNCGT-0052-JP1845LEKS00AB_orig.stp
JP1846P85800,2020-05-17 09:38:03.084911,MVNCGT-0063-JP1846P85800AA_orig.step
JP1846SBN000,2020-05-17 09:38:03.304576,MVNCGT-0062-JP1846SBN000AB_orig.igs
JP1849RNSY00,2020-05-17 09:38:03.617923,MVNCGT-0071-JP1849RNSY00AB_orig.SLDPRT
JP1849U9P100,2020-05-17 09:38:03.878750,MVNCGT-0073-JP1849U9P100AA_orig.SLDPRT
JP18497Y8200,2020-05-17 09:38:04.153699,MVNCGT-0074-JP18497Y8200AA_orig.SLDPRT
JP18499W4G00,2020-05-17 09:38:04.412078,MVNCGT-0070-JP18499W4G00AB_orig.CATPart
JP1849B88W00,2020-05-17 09:38:04.661916,MVNCGT-0069-JP1849B88W00AB_orig.CATPart
JP1849NBAY00,2020-05-17 09:38:04.911024,MVNCGT-0065-JP1849NBAY00AB_orig.igs
JP184940E700,2020-05-17 09:38:05.186996,MVNCGT-0077-JP184940E700AB_orig.stp
JP184905MW00,2020-05-17 09:38:05.486290,MVNCGT-0078-JP184905MW00AB_orig.stp
JP1849R40Z00,2020-05-17 09:38:05.730021,MVNCGT-0076-JP1849R40Z00AB_orig.stp
JP18499LD700,2020-05-17 09:38:06.056951,MVNCGT-0079-JP18499LD700AB_orig.stp
